Library,pathway,ES,NES,NOM p-val,FDR q-val,Lead_genes
Reactome,MAPK Family Signaling Cascades R-HSA-5683057,-0.20287108041818183,-0.9421080243752203,0.6088193456614509,0.9335207397480665,IL2RA;RASAL3;EGFR;MMP10;PDGFB;PDGFRB;MPP3;RASGRF2;MAPK12;FOXO3;PKN2;RBX1;IL6ST;PRKACB;NF1;RPS27A;SPTBN5;CAMK2B;FN1;IL3RA;WDR83;UBB;UBA52;KIT;PDE6D;HRAS;DUSP8;PSME4;CSF2RA;PDGFRA;ITGA2B;ARHGAP9;PSMB6;SPRED2;DUSP7;PAQR3;RASA3;PSMB3;PSMD5;DUSP4;CCND3;CDC14A;RASA4;PSMB4;RGL2;SPTBN2;TNRC6B;MMP2;IGF2BP1;ARHGEF7;MAP2K1
GO-BP,Sphingomyelin Metabolic Process (GO:0006684),-0.42376229291472456,-1.0234239797028102,0.4226618705035971,0.9335741831189619,SGMS1;SGMS2;SMPDL3A;SMPD2
GO-BP,TOR Signaling (GO:0031929),0.22593439447494384,0.7590349581974027,0.8616780045351474,0.9335800021905055,SYAP1;GATA3;EIF4EBP1;MAPKAP1;EIF4EBP2;LAMTOR4;NPRL3
GO-BP,T Cell Proliferation (GO:0042098),0.29171427837565855,0.7594433128202575,0.7910112359550562,0.9336496979015958,CADM1;MSN;PPP3CB;CTPS1
GO-BP,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-0.2705147265170216,-1.0238324347528591,0.3977455716586151,0.9337770098357402,COA6;NDUFB3;NDUFB1;NDUFAF1;UQCR11;UQCRB;COX6B1;NDUFA4;COX7C;NDUFV2;COX6A1;NDUFA1;UQCRH
Reactome,GRB2 Events In ERBB2 Signaling R-HSA-1963640,-0.38669279253330524,-0.9394817506726769,0.5303867403314917,0.9338005454431619,EGFR;HRAS
GO-BP,Cell-Cell Adhesion Mediated By Cadherin (GO:0044331),-0.3447755458104883,-0.9834859930366406,0.48628884826325414,0.9338378593649145,CTNND1;CDH11;FER;DCHS1;CDH2;PCDHGB4;PLEKHA7
GO-BP,Endomembrane System Organization (GO:0010256),-0.22201125347198847,-0.9830010627056869,0.5050505050505051,0.9339985175163692,PHETA2;HOOK1;GOLGA8M;GOLGA8H;DNM1;FAM174B;GOLPH3L;LMNA;SYNGR1;CUL7;SPTBN5;DMPK;TRAPPC8;ATP8B2;GOLGA8S;VPS33B;PLEKHM2;ATP8B3;SNX33;LAPTM4B;PLEKHA3;BAG5;VMP1;COG5;ARFGEF1;BCAS3;TLCD2;ZFP69B;TMCC1;CLASP1;LAMTOR1;ARHGEF7;REEP5;GORASP2;RAB43;PLEKHF1;ARL1;STX17;RAB30;GOLGA8N;GOLGA8K;VPS13B;GOLGA8T;ZNF501;ANK3;COG8;COG1;RAB2B;GOLGA8O;VAPB;SEC16A;ALS2;COG6;GOLGA8A;MYO18A
GO-BP,Sarcomere Organization (GO:0045214),-0.36249974570912163,-0.9516247868015174,0.526615969581749,0.9341408788603052,FHOD3;FLNC;OBSCN;BMP10;MYH3
GO-BP,Positive Regulation Of NIK/NF-kappaB Signaling (GO:1901224),-0.26385847810705315,-0.9507863277777361,0.5299003322259136,0.9341658829926658,TRIP6;PTP4A3;EGFR;TLR4
