TF,activity,pvalue,FDR,direction
ESRRG,1.1152109871385596,0.6108098030090332,0.9961943348185927,activated_in_AD
HNF4A,1.105712502989697,0.6136012077331543,0.9961943348185927,activated_in_AD
KLF12,1.0994768415484177,0.6144812703132629,0.9961943348185927,activated_in_AD
POU1F1,1.0984704611828378,0.6144812703132629,0.9961943348185927,activated_in_AD
FOXD3,1.090364223515541,0.6144812703132629,0.9961943348185927,activated_in_AD
MTF2,1.0894210612019406,0.6144812703132629,0.9961943348185927,activated_in_AD
STAT1,1.0850660600193007,0.6166166663169861,0.9961943348185927,activated_in_AD
IRF4,1.0819829420744618,0.6175070405006409,0.9961943348185927,activated_in_AD
TP53,1.0745191000952445,0.620574951171875,0.9961943348185927,activated_in_AD
NFATC3,1.0661992056143876,0.6265382170677185,0.9961943348185927,activated_in_AD
STOX1,1.0572081637622384,0.631252646446228,0.9961943348185927,activated_in_AD
ARID3A,1.0519903254593368,0.6314018964767456,0.9961943348185927,activated_in_AD
PEG3,1.050121782232915,0.6314018964767456,0.9961943348185927,activated_in_AD
TBX20,1.048435802300151,0.6314018964767456,0.9961943348185927,activated_in_AD
MSX2,1.0432892905153701,0.6340036988258362,0.9961943348185927,activated_in_AD
ZNF300,1.0415169283702708,0.6340036988258362,0.9961943348185927,activated_in_AD
IRF3,1.0328777034712504,0.6394413113594055,0.9961943348185927,activated_in_AD
FGF2,1.025994106129889,0.6430337429046631,0.9961943348185927,activated_in_AD
RXRA,1.0193074546149514,0.6475660800933838,0.9961943348185927,activated_in_AD
TCF7L2,1.017069552413154,0.647670567035675,0.9961943348185927,activated_in_AD
ZEB2,1.0047012119311625,0.6536445617675781,0.9961943348185927,activated_in_AD
BTG2,0.9993274853212144,0.6546177864074707,0.9961943348185927,activated_in_AD
IKZF4,0.9988786916466383,0.6546177864074707,0.9961943348185927,activated_in_AD
HOXD1,0.99447717127358,0.6546177864074707,0.9961943348185927,activated_in_AD
YBX3,0.9931594724873183,0.6546177864074707,0.9961943348185927,activated_in_AD
KCNIP3,0.9856592807046903,0.657902181148529,0.9961943348185927,activated_in_AD
ID1,0.9658245378724676,0.6685627102851868,0.9961943348185927,activated_in_AD
HMGB2,0.9634615745470254,0.6685627102851868,0.9961943348185927,activated_in_AD
SP3,0.9575385289087484,0.6685627102851868,0.9961943348185927,activated_in_AD
ZNF91,0.9565271333953873,0.6685627102851868,0.9961943348185927,activated_in_AD
RELB,0.9545833435571632,0.6685627102851868,0.9961943348185927,activated_in_AD
HESX1,0.9500017384573877,0.6685627102851868,0.9961943348185927,activated_in_AD
HOXA10,0.9240134607985777,0.6780949831008911,0.9961943348185927,activated_in_AD
GTF3A,0.9200726786200438,0.6782881021499634,0.9961943348185927,activated_in_AD
POU2F1,0.9197496395404404,0.6782881021499634,0.9961943348185927,activated_in_AD
ELF4,0.9136503107247972,0.6795854568481445,0.9961943348185927,activated_in_AD
HNF1B,0.9123613791430573,0.6795854568481445,0.9961943348185927,activated_in_AD
LEF1,0.9022758782770297,0.6868427395820618,0.9961943348185927,activated_in_AD
CTCFL,0.8933260441489705,0.6904515624046326,0.9961943348185927,activated_in_AD
CTNNB1,0.8862040077956841,0.6909597516059875,0.9961943348185927,activated_in_AD
REST,0.8858195591773689,0.6909597516059875,0.9961943348185927,activated_in_AD
CREBZF,0.884660113022336,0.6909597516059875,0.9961943348185927,activated_in_AD
FOS,0.882765584888644,0.6909597516059875,0.9961943348185927,activated_in_AD
CTBP1,0.8754583935135721,0.6939342021942139,0.9961943348185927,activated_in_AD
MECP2,0.8737670397703307,0.6939342021942139,0.9961943348185927,activated_in_AD
TFAP2B,0.8468284893060231,0.7127824425697327,0.9961943348185927,activated_in_AD
NKX2-1,0.8349618350389554,0.718299150466919,0.9961943348185927,activated_in_AD
HDAC7,0.8339932850130508,0.718299150466919,0.9961943348185927,activated_in_AD
TFDP2,0.833326059195869,0.718299150466919,0.9961943348185927,activated_in_AD
NEUROD2,0.8258748698231677,0.7237686514854431,0.9961943348185927,activated_in_AD
SMAD1,0.8223491925751202,0.7253050208091736,0.9961943348185927,activated_in_AD
NR1I2,0.8183133454926856,0.7273557782173157,0.9961943348185927,activated_in_AD
EMX2,0.8130880726322683,0.7291671633720398,0.9961943348185927,activated_in_AD
ARID4B,0.8064335550323791,0.7292038202285767,0.9961943348185927,activated_in_AD
NFE2,0.8016626146044695,0.7292038202285767,0.9961943348185927,activated_in_AD
SRSF2,0.8015495812349444,0.7292038202285767,0.9961943348185927,activated_in_AD
