"gene","baseMean","log2FC_raw","log2FC_shrunk","lfcSE","pvalue","padj","direction"
"MEST",63.1858213294694,-3.50442517744372,-0.292723083631981,1.14679497097212,0.00224428874391344,0.31410191262144,"down_in_AD"
"MYLIP",119.467094414004,-1.11415082580724,-0.627098653887862,0.365576029180005,0.00230632002508445,0.31410191262144,"down_in_AD"
"LRATD2",335.958461296815,-0.879633455793187,-0.594057494268337,0.288674111191437,0.00231022026111628,0.31410191262144,"down_in_AD"
"RGS16",1185.47414959653,1.57314080352096,0.638275169892539,0.516487134147122,0.00232025848338216,0.31410191262144,"up_in_AD"
"CEBPB",673.391653091236,0.948219326868521,0.615862678038453,0.311609973349664,0.00234256868954384,0.31410191262144,"up_in_AD"
"CHRNA6",15.2051384349306,2.62741261638149,0.511096733156734,0.86388412153085,0.00235484891275535,0.31410191262144,"up_in_AD"
"CKAP4",130.136396850679,-2.18232681088944,-0.484993297826505,0.71813078356139,0.00237444564495567,0.31410191262144,"down_in_AD"
"PPARGC1A",20.6173608026147,2.78891704893558,0.480599109710286,0.91967987751498,0.00242547739999015,0.316606072247933,"up_in_AD"
"CFH",11.0398480600229,-6.41076344183427,-0.165651543496059,2.11531191836155,0.00244030471457682,0.316606072247933,"down_in_AD"
"TMEM63C",97.889250667173,-1.54681913131872,-0.597672615142849,0.511224149532766,0.00248045096361285,0.31672025543416,"down_in_AD"
"ZNF568",39.8528703732215,-2.04266040837154,-0.531761318717641,0.676098902857458,0.00251737605217352,0.31672025543416,"down_in_AD"
"FUNDC1",108.516157747696,1.09557285830248,0.632977116335371,0.362877857953879,0.0025350765275987,0.31672025543416,"up_in_AD"
"TIMD4",24.6995340341961,-6.1131531698531,-0.190731026508506,2.02943607216124,0.00259325519743917,0.318556659513561,"down_in_AD"
"SIRPB1",774.216970040427,1.18650471588088,0.639396926773665,0.393951370174759,0.00259699344448912,0.318556659513561,"up_in_AD"
"FGF11",16.3144392426918,-2.81752794132065,-0.45789307013179,0.937149729827245,0.00264285853420433,0.321262073892063,"down_in_AD"
"ATRNL1",45.1241516868702,-3.77022632456699,-0.262092500235198,1.25897866916067,0.00274741425675375,0.328468492529923,"down_in_AD"
