"gene","baseMean","log2FC_raw","log2FC_shrunk","lfcSE","pvalue","padj","direction"
"CCNH",686.234125191014,0.0921652036560081,0.0684211953546382,0.247800433440826,0.709942599072115,0.999997691821602,"up_in_AD"
"CCNI",4319.86002166241,-0.0311602109236172,-0.0271044989384095,0.162583617449372,0.848011263660779,0.999997691821602,"down_in_AD"
"CCNJ",299.708499696486,-0.0565429737208269,-0.0358157508440393,0.319605629467864,0.859575294339506,0.999997691821602,"down_in_AD"
"CCNJL",15.305308368292,-0.160927710286538,-0.0225932793436064,1.03352229971212,0.876263175714685,0.999997691821602,"down_in_AD"
"CCNK",378.913268388671,0.317137705653675,0.227065813587961,0.265521871791846,0.232323919398056,0.999997691821602,"up_in_AD"
"CCNL1",794.904338910509,0.0562693125745253,0.0407759775557041,0.259229567442496,0.828158752268281,0.999997691821602,"up_in_AD"
"CCNL2",860.515153871962,0.175006022093688,0.104246009814365,0.347065220076592,0.614088978324064,0.999997691821602,"up_in_AD"
"CCNQ",136.641081318838,-0.0139529159953453,-0.00608720106262787,0.477816118601144,0.976703937315932,0.999997691821602,"down_in_AD"
"CCNT1",215.768334533575,-0.590092045778095,-0.388597685113458,0.300943078393168,0.0499012499398933,0.999997691821602,"down_in_AD"
"CCNT2",690.412939230074,-0.0871996249800124,-0.0617513420632278,0.269596382908146,0.74635818998205,0.999997691821602,"down_in_AD"
"CCNY",788.875778334769,-0.109641274402524,-0.0811717245418916,0.248704311270965,0.659321654980419,0.999997691821602,"down_in_AD"
"CCNYL1",449.651685519535,-0.157395723153348,-0.0867926995662303,0.378303715602399,0.677368653562135,0.999997691821602,"down_in_AD"
"CCP110",335.971753378087,-0.105903093047692,-0.0763371852623646,0.261340538370633,0.685308267598853,0.999997691821602,"down_in_AD"
"CCPG1",1467.27509197662,0.0838231526179732,0.0530710412570697,0.320327584005667,0.793568569210142,0.999997691821602,"up_in_AD"
"CCR1",1661.35725731316,0.318484875917593,0.129038579156574,0.512347437877407,0.534192457986936,0.999997691821602,"up_in_AD"
"CCR2",28.1271428500136,1.97892214628676,0.528694876535972,0.703540444797344,0.00491114093895938,0.453876881434102,"up_in_AD"
"CCR4",137.612767428216,0.123415062029684,0.0612547150681173,0.42399004828565,0.770990065723116,0.999997691821602,"up_in_AD"
"CCR5",298.597501365482,0.979509768451942,0.355927456412716,0.564274188295817,0.0825858413614528,0.999997691821602,"up_in_AD"
"CCR6",351.521357293144,-0.543260473101304,-0.134371232871983,0.721033035571983,0.451181102400439,0.999997691821602,"down_in_AD"
"CCR7",49.5358409629404,-2.07459751477773,-0.162788046456455,1.29027184945209,0.107862275529652,0.999997691821602,"down_in_AD"
"CCRL2",200.292627660777,1.29307825766559,0.342502374426491,0.71128865145517,0.0690736977699807,0.999997691821602,"up_in_AD"
"CCS",147.612230750683,-0.440970931863374,-0.273695824004903,0.327040578858788,0.177540168263507,0.999997691821602,"down_in_AD"
